image_id,duplicate_of,dominant_clr,saturation,sat_level,brightness,brightness_level,Adults,Children
1189887381493396.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1190156771455907.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1190682541357017.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1191115687965826.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1191555144641123.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1192532234593612.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1193925391124377.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1199840203814044.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1200064947180736.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1201932696917327.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1202572566923784.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1202260380237796.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1205873519926836.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1208811892878826.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1209474016142348.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
121079186801150.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1211125609406458.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1210894969354456.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1212033799221892.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
121271756785118.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1215055702274285.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1215518612229139.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1218142565284286.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1218384045289097.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1220867685003080.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
122181020020205.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1221976291609877.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1223567278083089.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1223775544739877.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1223859474718873.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1225532107884021.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1226057041202256.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1225755854562821.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1226309937840470.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1227573981098122.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1229806120795442.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1230515804114100.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
123253953248459.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1232960803821569.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1233515297122713.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1234839630301209.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
123491913223718.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1235166363589178.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1235600943575561.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1240223123096058.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1242053686290161.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1242591299506026.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1249807442157843.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1250646505373944.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1254871975031282.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1255913481588523.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1256302091490583.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1259741274455349.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1261387520966246.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1263436777425771.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
